日期,时间,成交价,成交量,总量,属性(持仓增减),B1价,B1量,B2价,B2量,B3价,B3量,S1价,S1量,S2价,S2量,S3价,S3量,BS
2012-08-20,8:59:00,7574,4052,4052,633306,7574,70,0,0,0,0,7576,3,0,0,0,0,S
2012-08-20,9:00:00,7574,774,4826,620,7574,13,0,0,0,0,7578,155,0,0,0,0,S
2012-08-20,9:00:00,7576,432,5258,202,7576,107,0,0,0,0,7578,168,0,0,0,0,B
2012-08-20,9:00:01,7578,812,6070,266,7576,103,0,0,0,0,7578,86,0,0,0,0,B
2012-08-20,9:00:01,7578,526,6596,-130,7578,40,0,0,0,0,7580,133,0,0,0,0,B
2012-08-20,9:00:01,7580,454,7050,32,7578,81,0,0,0,0,7580,56,0,0,0,0,B
2012-08-20,9:00:02,7576,184,7234,120,7576,128,0,0,0,0,7580,49,0,0,0,0,S
2012-08-20,9:00:02,7576,362,7596,214,7576,97,0,0,0,0,7578,5,0,0,0,0,S
2012-08-20,9:00:03,7580,132,7728,82,7580,19,0,0,0,0,7582,23,0,0,0,0,B
2012-08-20,9:00:03,7578,186,7914,62,7576,102,0,0,0,0,7578,6,0,0,0,0,S
2012-08-20,9:00:03,7576,16,7930,2,7576,100,0,0,0,0,7578,2,0,0,0,0,S
2012-08-20,9:00:03,7576,430,8360,120,7576,94,0,0,0,0,7582,173,0,0,0,0,S
2012-08-20,9:00:04,7576,154,8514,84,7576,58,0,0,0,0,7578,1,0,0,0,0,S
2012-08-20,9:00:04,7578,48,8562,32,7578,71,0,0,0,0,7580,36,0,0,0,0,B
2012-08-20,9:00:05,7578,184,8746,98,7578,57,0,0,0,0,7580,65,0,0,0,0,S
2012-08-20,9:00:05,7578,212,8958,154,7578,2,0,0,0,0,7580,315,0,0,0,0,S
2012-08-20,9:00:05,7576,104,9062,46,7576,39,0,0,0,0,7578,117,0,0,0,0,S
2012-08-20,9:00:05,7576,184,9246,104,7574,19,0,0,0,0,7576,131,0,0,0,0,S
2012-08-20,9:00:06,7576,4,9250,4,7574,18,0,0,0,0,7576,183,0,0,0,0,B
2012-08-20,9:00:06,7574,138,9388,72,7572,58,0,0,0,0,7574,208,0,0,0,0,S
2012-08-20,9:00:07,7570,330,9718,188,7570,926,0,0,0,0,7572,45,0,0,0,0,S
2012-08-20,9:00:08,7572,58,9776,-16,7570,921,0,0,0,0,7572,67,0,0,0,0,B
2012-08-20,9:00:08,7570,790,10566,-600,7570,28,0,0,0,0,7574,217,0,0,0,0,S
2012-08-20,9:00:08,7574,26,10592,-16,7572,25,0,0,0,0,7574,213,0,0,0,0,B
2012-08-20,9:00:08,7572,142,10734,26,7572,284,0,0,0,0,7574,202,0,0,0,0,S
2012-08-20,9:00:09,7572,238,10972,204,7572,332,0,0,0,0,7574,202,0,0,0,0,S
2012-08-20,9:00:10,7574,152,11124,78,7572,290,0,0,0,0,7574,369,0,0,0,0,B
2012-08-20,9:00:10,7572,166,11290,-48,7572,285,0,0,0,0,7574,288,0,0,0,0,S
2012-08-20,9:00:10,7572,24,11314,4,7572,284,0,0,0,0,7574,287,0,0,0,0,S
2012-08-20,9:00:10,7574,40,11354,12,7572,334,0,0,0,0,7574,280,0,0,0,0,B
2012-08-20,9:00:11,7574,28,11382,16,7572,327,0,0,0,0,7574,275,0,0,0,0,B
2012-08-20,9:00:11,7572,138,11520,106,7572,300,0,0,0,0,7574,238,0,0,0,0,S
2012-08-20,9:00:12,7572,176,11696,158,7572,236,0,0,0,0,7574,215,0,0,0,0,S
2012-08-20,9:00:12,7572,200,11896,100,7572,179,0,0,0,0,7574,180,0,0,0,0,S
2012-08-20,9:00:12,7574,310,12206,284,7572,76,0,0,0,0,7574,89,0,0,0,0,B
2012-08-20,9:00:13,7572,24,12230,12,7572,71,0,0,0,0,7574,104,0,0,0,0,S
2012-08-20,9:00:13,7574,120,12350,12,7572,243,0,0,0,0,7574,78,0,0,0,0,B
2012-08-20,9:00:14,7574,58,12408,36,7572,218,0,0,0,0,7574,81,0,0,0,0,B
